Column1,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings,0,Res
362,28,81,40,41,15.3,4.2,1.5,3.6,42.6,1,2.6,38.6,0.2,0.2,72.2,0.2,1.6,1.9,1.2,0.8,0.7,0,1.2,9.6,0,0,0,73,71.17318,1.82682
363,25,22,10,12,8.9,4.5,1.5,3.5,43.6,0.5,1,45.5,1,1.3,75,0.2,0.7,0.9,1.1,0.7,0.1,0,0.8,7.2,0,0,2,70,68.560356,1.439644
364,21,16,9,7,3.6,1.3,0.5,1.4,36.4,0,0,0,0.3,0.6,50,0.4,0.4,0.8,0.1,0.1,0,0.7,0.3,4.4,0,0,0.4,71,69.77127,1.22873
365,26,65,27,38,28.2,16.8,6.3,14.4,43.9,1.3,4,33.6,2.8,3.3,84.3,0.4,2.6,3,6,2.6,1.4,0.3,2.3,31.9,5,0,0.4,79,82.02395,-3.02395
366,27,53,28,25,14.6,4.5,1.7,4.3,38.6,0.7,2,34.3,0.5,0.7,73,0.2,1.5,1.7,1.1,0.7,0.6,0.4,1.2,10.3,0,0,-1.7,70,70.95143,-0.95143
367,25,72,60,12,33,21.2,7.7,15.1,50.6,1.8,4,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1,1.8,40.1,12,0,9.1,93,91.177055,1.822945
368,25,69,40,29,20.2,10,3.7,8.1,45.5,1.2,3,40.5,1.4,1.9,75,1,3,4.1,1.5,1.1,0.8,0.5,2.4,19.7,1,0,3.2,76,76.60407,-0.60407
369,26,81,47,34,35.6,20.9,7,16.4,42.7,2.2,6,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,37.9,3,0,3,85,88.0434,-3.0434
370,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5,3.5,1,1.2,1.9,48.5,27,1,9,93,97.13055,-4.13055
371,27,78,32,46,19,6.8,3,5.7,53.2,0,0,0,0.7,1.3,54.8,2.2,3.3,5.4,0.4,0.6,0.5,0.9,2.4,17.5,5,0,-2.9,74,72.501625,1.498375
372,28,68,43,25,14.4,3.4,1.3,3.3,38.9,0.4,1.4,30.9,0.4,0.6,65.9,0.7,1.3,2.1,0.4,0.5,0.4,0.1,1.8,7.7,0,0,-0.3,71,68.96632,2.03368
373,24,53,37,16,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3,4.7,2.3,1.1,0.3,2,32.1,1,0,3.9,89,86.49619,2.50381
374,25,69,36,33,19.9,8.3,3.3,6.9,48.1,0.4,1.1,38.5,1.3,1.6,78.4,0.6,2.7,3.2,1.9,1.4,0.6,0.1,2,16,1,0,-0.9,86,74.34893,11.65107
375,31,76,56,20,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1,96,96.84813,-0.84813
376,33,68,60,8,15.9,6.4,2.5,5.4,46.2,0.6,1.6,35.5,0.8,0.9,83.9,0.4,1.3,1.7,1.2,0.8,0.6,0.1,1.6,11.8,0,0,0.6,73,73.08752,-0.08752
377,36,76,50,26,21.5,8.7,3.5,7.9,45,0.9,2.1,40.4,0.8,1.1,72.6,1.1,3.6,4.7,0.9,0.9,0.6,0.4,2.3,17.7,3,0,-0.3,74,75.08729,-1.08729
378,31,74,45,29,32.4,12.3,4.6,10.1,45.5,1.2,3.5,34.4,2,2.6,75.5,1.5,4.5,6,1.9,1.1,1,0.4,1.6,25.4,13,0,0.3,78,77.46364,0.53636
379,33,53,8,45,16.4,4.5,1.8,4.3,42.2,0.3,1.2,26.2,0.5,0.5,93.1,0.3,1.4,1.7,3.4,1.5,0.5,0.1,1.4,12,0,0,0.4,72,72.22905,-0.22905
380,30,68,27,41,24.6,10.2,3.6,9.3,38.6,1.3,4.4,30.6,1.7,2,83.3,0.1,1.6,1.7,1.9,1.2,0.5,0,1.3,15.6,0,0,-2.7,72,74.08078,-2.08078
381,26,64,22,42,25.5,12,4.8,11.2,42.5,0.7,2.4,30.3,1.7,2.3,73.5,1.1,4.4,5.5,1.9,2.1,0.9,0.5,2.9,23.7,2,0,-1.4,76,76.61149,-0.61149
382,25,76,54,22,24.6,7.5,2.7,6.7,40.5,1.3,3.1,41,0.8,0.9,86.4,0.4,1.7,2.1,4.4,1.5,0.6,0.1,2.3,17.3,1,0,5,75,76.52973,-1.52973
383,28,56,33,23,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,30.9,4,0,1.2,85,82.538506,2.461494
384,24,60,34,26,9.4,3.3,1.3,2.5,50,0.2,0.7,30.8,0.5,0.7,79.5,0.6,1.3,2,0.6,0.5,0.2,0.5,1.2,8,0,0,-0.6,72,72.43885,-0.43885
385,28,60,20,40,17.9,5.1,1.8,3.9,46.8,0.8,2.1,38.4,0.7,0.9,72.7,0.8,2.7,3.5,1.4,0.8,0.4,0.4,2.6,13,3,0,-2.1,72,70.85852,1.14148
386,23,75,36,39,30.3,11.6,4.5,9.6,47.3,1.3,3.6,36.7,1.3,1.7,75.4,1.3,3.9,5.2,1.6,0.9,1.4,0.4,2.2,24.8,5,0,0.6,76,77.43808,-1.43808
387,23,34,17,17,4.2,1.1,0.4,1.4,26.5,0.1,0.6,23.8,0.1,0.1,100,0.3,0.6,0.9,0.3,0.3,0.1,0,0.2,2.5,0,0,-0.4,69,68.96729,0.03271
388,25,59,21,38,14.8,5.2,2,3.6,55.6,0.3,0.8,38.8,0.8,1.2,73.5,1.1,2.1,3.2,0.5,0.5,0.5,0.4,1.7,12,0,0,-2.1,72,74.10476,-2.10476
389,24,1,1,0,6.1,4,2,2,100,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5.2,0,0,-10,66,71.46997,-5.46997
390,30,82,41,41,20.3,9.9,3.4,7.2,47.3,0.4,1.4,32.4,2.6,3.5,75.6,0.3,2.2,2.5,2.9,1.4,0.6,0.1,1.2,17.7,3,0,-0.7,74,75.8948,-1.8948
391,24,81,40,41,18.5,5.9,2.2,5.2,43.1,0.8,2,39.5,0.6,0.9,74.3,0.2,1.3,1.5,2.1,1.3,0.8,0,1.5,11.9,0,0,0.9,73,72.864204,0.135796
392,25,41,30,11,11.6,3.3,1.3,3.6,37.7,0.4,1,35.7,0.3,0.4,80,0.2,1,1.1,1.5,0.6,0.3,0.2,0.7,7.7,0,0,0.5,71,71.158455,-0.158455
393,25,37,22,15,11.6,3.3,1.2,2.6,43.9,0.6,1.4,41.5,0.4,0.4,93.3,0.4,1.5,1.8,0.7,0.2,0.3,0.1,0.8,7.4,0,0,-1.6,70,70.80518,-0.80518
394,25,67,10,57,28.4,12.8,4.1,10.6,38.5,2.5,7.2,35.3,2.1,2.6,79.1,1,5.3,6.3,1.4,2.1,1.6,0.6,3.5,26.8,7,0,-4.2,76,76.47068,-0.47068
395,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6,7.8,10.4,4.3,2,0.3,2.5,51.1,54,18,7.9,93,92.27859,0.72141
396,26,78,54,24,32.1,12.6,5.3,11.1,47.9,0.8,2.4,32.6,1.2,1.6,75.2,1.8,5,6.8,0.8,1.4,0.5,1.9,2.7,27.8,9,0,6.8,79,80.326096,-1.326096
397,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2,50.3,15,2,12.9,94,104.964836,-10.964836
398,24,50,24,26,20.9,8.7,3.3,7.3,45.2,0.5,1.6,31.6,1.5,2.3,66.4,1.2,3,4.2,0.8,1,0.5,0.8,1.7,17.7,0,0,-4.8,74,73.64265,0.35735
399,25,73,53,20,23.9,9.9,3.7,8.6,43.1,1.8,4.6,38.6,0.7,0.8,79,0.3,2.2,2.5,0.8,0.6,0.7,0.3,1.6,16.7,1,0,3.3,75,74.68147,0.31853
400,32,75,42,33,23.4,6.4,2.5,4.9,50.7,0.6,1.6,34.1,0.8,1.3,62.6,0.7,3.8,4.5,1.4,0.9,1.1,0.5,1.5,17.9,1,0,-0.3,75,74.94412,0.05588
401,28,79,39,40,20.7,5.9,2.4,4.9,49,0.2,0.5,29.3,0.9,1.3,67,2.1,3.6,5.7,1.1,1,0.7,0.5,2.1,17.1,4,0,0.8,73,72.919205,0.080795
402,23,64,31,33,21.3,10.6,4.1,9.9,41.3,1.4,4,34.4,1,1.3,81.7,0.3,1.5,1.8,2.3,1.3,0.5,0.1,1.3,16.9,0,0,0,73,75.92263,-2.92263
403,20,80,38,42,17.3,6.1,2.4,5.5,43.8,0.6,1.6,38.3,0.7,1,69.5,0.7,3,3.7,0.7,0.8,0.3,0.2,1.4,12.5,2,0,-0.6,72,72.35471,-0.35471
404,28,66,31,35,21.4,5.7,2.1,5.4,39.3,0.5,1.6,33.3,0.9,1.3,68.6,0.4,1.4,1.8,3.6,1.4,0.8,0.1,1.3,14.5,1,0,-2.4,73,70.97434,2.02566
405,33,66,18,48,24.5,7.2,2.8,4.8,58.3,0,0,0,1.6,2.6,62,2.7,6.1,8.7,1,1.4,0.5,0.7,2.2,21.3,20,0,-6,74,74.33051,-0.33051
406,39,60,33,27,16.8,6.6,2.2,5.7,38.8,1,2.8,34.9,1.2,1.4,83.3,0.5,1.9,2.4,0.9,0.6,0.6,0.3,1.7,13,0,0,-0.6,74,73.6665,0.3335
407,25,82,33,49,28.7,14.4,5.2,12,43.2,1.4,4,34.5,2.6,3.3,80.6,0.7,5.1,5.8,2.5,1.7,0.9,0.5,1.8,27.4,6,0,-1.6,78,79.32539,-1.32539
408,34,68,37,31,29.7,15.3,6.3,13.3,47.5,0.1,0.4,23.1,2.5,3.2,79.6,2.6,5.1,7.8,2.1,1.5,0.6,0.2,2.1,28.7,17,1,-0.2,80,78.79127,1.20873
409,30,82,50,32,23,11.6,4.2,10,42.1,1.5,3.8,38.7,1.8,2.1,83.3,0.4,1.6,2,3.2,1.9,0.7,0.2,2.3,19.4,1,0,2.5,75,76.50793,-1.50793
410,32,26,16,10,24.4,9.8,4.3,7.7,55.5,0,0.1,0,1.3,1.7,73.3,2.2,4.3,6.5,1.3,1.3,0.7,0.6,2.2,22.4,2,0,0.2,76,76.62289,-0.62289
411,30,76,36,40,18.9,6.3,2.1,5.2,41,1.4,3.8,36.6,0.7,0.9,78.3,0.7,2.4,3.1,0.8,0.7,0.3,0.2,1.8,12.1,1,0,1.4,70,71.672646,-1.672646
412,22,76,46,30,20.6,7,2.7,6.5,40.9,0.5,1.7,29.8,1.1,1.7,67.5,0.4,1.6,2,2,0.9,0.6,0.2,1.9,14,0,0,-1.7,73,72.51397,0.48603
413,24,77,37,40,31.5,13.9,5.6,13.2,42.8,1.6,4.6,35.2,1,1.3,79,0.6,2.5,3.1,1.8,1.4,1.1,0.2,2.3,22.7,1,0,-1.1,77,76.94986,0.05014
414,26,67,47,20,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40,4.6,6.4,72.8,1.9,5.7,7.6,5.3,2.3,0.9,0.5,2.9,41.1,18,0,8.7,88,94.76145,-6.76145
415,26,78,36,42,23.8,9,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,1,0.4,0.1,1.3,14.2,0,0,-2.3,71,73.980194,-2.980194
416,27,75,37,38,19.3,7.3,3.1,4.8,64.2,0,0,0,1,1.5,69.6,1.7,2.6,4.3,0.5,0.5,0.7,1.3,1.4,18.5,3,0,-0.2,75,75.82308,-0.82308
417,29,33,27,6,8.2,0.9,0.3,1.6,20.4,0.1,0.8,11.1,0.2,0.3,45.5,0.1,1.1,1.2,0.4,0.3,0.2,0.4,0.8,4.2,0,0,-3.8,65,67.684395,-2.684395
418,29,72,30,42,18.5,6.7,2.4,6.3,38.9,0.9,2.7,32.1,0.9,1,89.2,0.2,1.3,1.5,2.3,0.8,0.5,0.1,1,12.7,0,0,-1.2,72,72.51278,-0.51278
419,19,8,7,1,2.9,1.3,0.5,1.5,33.3,0.3,0.4,66.7,0,0,0,0.1,0.1,0.3,0,0.5,0,0.1,0.4,1.4,0,0,-3.4,65,68.35558,-3.35558
420,33,74,47,27,18.9,8.6,3.8,7.4,51.5,0,0,0,1,1.4,70.6,2,4.5,6.5,0.9,1.5,0.2,0.7,1.9,19.2,4,0,-0.1,76,76.612724,-0.612724
421,30,82,56,26,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90,0.6,4,4.6,10.2,2.3,1.9,0.2,2.5,43.8,40,1,8.9,90,95.80593,-5.80593
422,32,29,17,12,8.8,1.7,0.8,1.6,47.8,0,0,0,0.2,0.4,54.5,0.6,1.1,1.8,0.7,0.3,0.3,0.1,1.3,6,0,0,1.3,68,71.23893,-3.23893
423,24,39,6,33,16.6,5.4,1.9,5.5,35.5,0.6,2.2,26.2,0.9,1.2,75,0.6,1.9,2.5,0.9,1,0.6,0.3,1.5,11.5,0,0,-4.2,68,69.68601,-1.68601
424,26,59,23,36,24.2,12.4,3.9,9.6,40.1,1.8,5.1,35.5,2.9,3.2,89.5,0.5,3.2,3.7,1.4,1,0.8,0.3,1.6,21.4,0,0,0.3,76,75.83609,0.16391
425,19,82,38,44,22.2,4.8,1.8,5.1,34.9,1,3.2,31.4,0.2,0.4,62.5,0.3,1.3,1.6,2.4,1.4,0.5,0.2,1.8,10.9,0,0,1.1,73,73.24171,-0.24171
426,27,58,22,36,17,6.6,2.7,6.6,40.4,0.4,1.9,23.6,0.8,1,78,0.9,2,2.9,1,0.8,0.8,0.4,2.5,14.6,2,0,-0.2,71,72.36661,-1.36661
427,32,49,37,12,18.5,7.9,3.3,6.4,51.1,0,0,0,1.4,2.1,65.4,1.7,3.6,5.2,1.7,1,0.6,0.5,1.7,19.3,1,0,0.5,76,77.06247,-1.06247
428,32,76,45,31,22.2,8.8,2.9,6.9,41.8,1.3,3.5,35.7,1.7,2.1,81.5,0.2,1.6,1.8,3.1,1.1,1,0.2,1.9,18.1,0,0,1.3,74,75.16407,-1.16407
429,25,59,17,42,14.3,3.7,1.5,2.7,56.2,0,0,0,0.6,1.1,53.1,2,3,5,0.2,0.9,0.3,0.8,2.4,12.4,2,0,-0.4,71,70.404854,0.595146
430,37,77,47,30,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38,3.3,3.8,88.2,0.6,5.4,5.9,1.9,1.1,0.5,0.4,2.1,29,6,0,3.1,84,84.01209,-0.01209
431,24,71,48,23,28.7,12,5,9.9,50.4,0.7,1.9,36.8,1.4,2.3,60.2,1.9,4,5.9,1.8,1.7,0.8,0.5,2.9,24,7,0,1.4,75,76.88914,-1.88914
432,25,79,64,15,31.5,11.7,4.3,9.7,44.3,1.4,4.2,33.7,1.7,2.5,66,1.4,6.7,8.2,3.7,1.7,1.6,1.3,3.2,33.8,18,1,10.6,82,86.94843,-4.94843
433,23,29,11,18,8.2,3.1,1.1,2.3,46.3,0.1,0.4,27.3,0.9,1.1,75.8,0.6,1.1,1.7,0.3,0.4,0.3,0.2,1.4,6.8,0,0,0,68,69.324455,-1.324455
434,21,82,25,57,30.3,8.9,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3,4.3,6.5,2.5,1.7,0.2,2.4,27.2,12,2,-2.5,76,78.13756,-2.13756
435,26,61,35,26,33.1,13.4,4.7,11.4,41.1,2.3,5.2,44.8,1.8,2.2,80.5,0.5,2.1,2.6,3.8,2,0.8,0.2,2.4,23.3,1,0,1.1,78,76.90004,1.09996
436,22,58,19,39,28.6,12,4.4,9.9,44,1.5,3.9,37.8,1.8,2.5,72.8,0.5,2.2,2.6,2.1,1.4,0.7,0,2,19.1,0,0,-2.5,72,74.90674,-2.90674
437,26,82,40,42,27.6,9.5,3.9,9.1,42.9,0.4,1.5,27.7,1.3,1.7,75.2,0.5,4.6,5.1,5.5,2.4,1,0.2,2.2,25.1,7,3,-1.2,74,77.2796,-3.2796
438,20,55,18,37,13.1,3.4,1.2,3.9,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.5,0.7,0.7,0.1,1.3,7.4,0,0,-3.1,65,70.74463,-5.74463
439,27,80,32,48,28.9,12.1,4.6,10.6,43.7,0.6,1.7,33.1,2.3,2.7,84.8,0.5,3,3.4,2.6,1.4,0.6,0.3,1.7,21.4,2,0,-0.4,74,75.50057,-1.50057
440,29,78,41,37,33.8,16.3,6.4,12.8,50.1,1.2,3.3,34.7,2.3,3,77.4,1,2.5,3.5,4.5,2.2,1,0.2,2.5,28.7,4,0,0.3,81,80.027016,0.972984
441,25,73,16,57,30,9.7,3.5,7,50.6,0,0.1,16.7,2.6,3.3,78.3,3.1,5.3,8.3,2,1.7,1,1.7,2.6,29.1,18,0,-5.2,74,76.77229,-2.77229
442,23,82,67,15,28.3,10.1,3.9,8,48.2,1.1,2.6,40.5,1.3,1.8,72,1.4,4.1,5.5,1.4,0.9,0.7,0.2,1.8,20.9,6,0,6.5,77,77.51825,-0.51825
443,25,73,14,59,19.2,8,3.3,6.9,47.4,0.1,0.3,18.2,1.5,1.9,77.4,1.7,3.3,4.9,1.1,1.4,0.5,0.4,1.8,17,4,0,-4.5,71,73.315895,-2.315895
444,24,71,13,58,25,8.8,3.2,7.6,41.3,1.6,4,40.1,0.9,1.3,70.8,0.7,2,2.8,1.2,0.9,0.8,0.4,2,16.5,0,0,-4.8,71,71.92788,-0.92788
445,26,67,40,27,25.8,16.4,5,11.9,42.1,1.9,5.2,37.3,4.5,5.2,86.8,0.5,1.8,2.3,4.2,2.1,0.9,0.1,2.2,26.2,0,0,2.6,81,81.35087,-0.35087
446,29,70,38,32,29.7,12.1,4.5,10.8,41.7,2.3,6.1,38.3,0.8,1,75,0.4,2.7,3.1,2.8,1.4,1.2,0.3,2.3,23.1,0,0,2.3,76,76.22179,-0.22179
447,22,74,17,57,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,1,0.5,0.4,1.8,11,0,0,-4.5,69,71.24883,-2.24883
448,34,57,35,22,11.7,4.4,1.3,3.5,36.8,1.1,3.1,36,0.7,0.8,84.8,0.2,0.9,1.1,0.4,0.2,0.2,0.1,1.2,7.2,0,0,-1.9,69,70.495415,-1.495415
449,22,15,11,4,9.1,4.1,1.6,2.9,54.5,0,0,0,0.9,1.7,56,1,1.5,2.5,0.1,0.4,0.3,0.6,1.4,9.7,0,0,0.6,67,69.93389,-2.93389
450,29,82,17,65,21.8,8,3.1,7.2,43.4,0.2,0.5,35.7,1.5,1.9,83,1.2,2.8,4,1.7,1.3,0.4,0.5,2.5,16.8,3,0,-5.2,72,72.70141,-0.70141
451,28,81,29,52,24.6,6.1,2.5,5.3,47,0,0,0,1.1,1.8,62.2,1.7,4.8,6.5,1,1,0.4,0.7,3,17.8,7,0,-2.3,70,70.979164,-0.979164
452,25,37,17,20,7,2.6,0.9,1.7,50,0,0,0,0.9,1.4,68,0.6,1.1,1.7,0.3,0.3,0.1,0.5,0.7,6.6,0,0,-1.1,70,70.31582,-0.31582
453,23,47,27,20,13.5,6.3,2.2,5.3,41.6,0.8,2.4,34.2,1,1.2,89.1,0.2,2.1,2.3,0.9,0.6,0.4,0.1,1.1,11.6,1,0,-1.5,73,72.40207,0.59793
454,26,77,39,38,22.3,7.8,2.9,6.7,42.6,0.5,1.6,30.8,1.6,1.8,88.3,0.3,2.5,2.7,3,1.7,0.8,0.2,2.1,16.6,0,0,-0.2,72,74.04234,-2.04234
455,30,67,39,28,30.6,7.2,2.8,6.4,44.5,0,0,0,1.6,2.6,60.3,3.3,6.4,9.6,4.7,1.8,0.7,1.1,3,29.4,15,0,1.2,79,77.704735,1.295265
456,32,49,25,24,8.3,1.8,0.7,1.3,58.1,0,0,0,0.3,0.4,68.2,0.7,1.2,1.9,0.1,0.2,0.2,1,1.1,7.7,0,0,0.2,66,73.90748,-7.90748
457,27,70,19,51,26.8,12,5.1,11.1,45.9,0,0.2,27.3,1.8,2.4,73.8,2.5,5.5,7.9,1.5,1.5,0.5,0.7,2.3,25.9,22,0,-5.7,75,77.103935,-2.103935
458,29,83,41,42,27.7,12.4,5,11.9,41.9,0.9,2.7,31.6,1.5,3.1,49.8,1.8,4.6,6.4,3.3,2.5,1,1.4,2.7,29.9,15,0,0.2,75,79.854355,-4.854355
459,39,47,20,27,20.3,6.9,3,6.5,46.7,0,0.1,14.3,0.8,1,80,1,5.6,6.6,1.6,1,1,0.4,2.3,20.3,3,0,-0.5,76,74.996605,1.003395
460,21,33,22,11,10.9,2.2,0.9,2.7,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2,2.2,0.8,0.3,0.5,0.2,0.8,7.8,0,0,-1.1,71,70.89464,0.10536
461,27,76,62,14,15.9,10.4,4.2,8.5,49.2,0.1,0.2,27.8,2,2.3,84.3,1.4,2.8,4.3,0.9,1.1,0.3,0.4,2.5,18,1,0,2.4,76,77.47005,-1.47005
462,35,72,49,23,13,3.7,1.3,3.2,40.9,0.6,1.8,36.5,0.4,0.5,81.1,0.4,1.2,1.6,0.7,0.2,0.1,0.2,0.9,7.3,0,0,0.5,70,71.29948,-1.29948
463,27,70,47,23,31.8,15.8,5.6,12.6,44.6,1.5,4,38.6,3.1,3.6,85.9,0.4,2.6,3,5.4,2.2,1.3,0.2,2,29.6,6,0,3.1,85,81.55643,3.44357
464,34,63,41,22,29.2,9.4,3.3,7.6,43.5,1.7,4.2,40.7,1.1,1.4,80.5,0.4,3.5,3.9,1.8,1,0.6,0.3,2,18.8,0,0,3.3,73,75.29017,-2.29017
465,26,68,52,16,16.5,7.8,3,6.7,44.4,1,2.8,34.4,0.9,1.1,79.2,0.7,2.3,2.9,1.1,0.6,0.4,0,1.2,13.6,0,0,0.3,72,74.883705,-2.883705
466,29,40,16,24,22.3,8.5,3.1,8,38.2,1.6,4.8,32.1,0.8,1.2,71.7,0.7,4.2,4.9,1.2,1.3,0.4,0.4,1.9,16.9,1,0,-0.3,69,74.3099,-5.3099
467,34,66,38,28,16.7,4.1,1.6,3.8,41.9,0.2,0.9,26.7,0.7,1,69.2,1.4,2.4,3.8,1.4,0.7,0.5,0.4,2.4,12.8,0,0,1.3,73,72.47474,0.52526
468,26,71,43,28,33.5,9.4,3.4,8.5,40,1.4,4.4,32.4,1.2,1.4,85.7,0.9,5,5.9,4.8,1.9,1.1,0.6,1.5,26.7,5,0,3,77,78.458176,-1.458176
469,19,25,8,17,10.3,3.3,1.2,3,39.5,0.2,0.5,38.5,0.7,1,69.2,1.1,2.3,3.4,0.2,0.4,0.2,0.4,0.8,8.8,1,0,-2.7,72,71.988014,0.011986
470,27,67,23,44,21.1,8.9,3.1,6.4,48.9,0.5,1.3,40.2,2.1,2.9,73.3,0.8,3.1,3.9,1.5,1.3,0.5,0.1,1.6,16.3,1,0,-2.7,73,74.02863,-1.02863
471,24,50,22,28,12,3.5,1.3,3.5,36.8,0.3,1.3,24.6,0.7,1,67.3,0.3,1.3,1.6,2.3,0.8,0.6,0.1,1.1,10.3,1,0,0,68,70.419136,-2.419136
472,29,64,26,38,18.6,6.3,2,5.2,37.4,0.3,0.9,31.7,2.1,2.7,76.9,0.4,1.9,2.3,2.8,1.3,0.5,0,1.1,13.3,0,0,-2.5,72,71.27297,0.72703
473,31,50,15,35,21.7,8.7,3,8,36.8,1.9,5.3,35.7,0.9,1.1,81.8,0.2,1.5,1.7,2.4,1.2,0.7,0.2,1.9,15.8,0,0,-2.1,72,73.64829,-1.64829
474,24,36,19,17,9.4,1.9,0.7,1.9,34.3,0.4,1.3,32.6,0.2,0.3,66.7,0,1.4,1.4,0.2,0.2,0.3,0.1,0.5,4.9,0,0,-0.1,67,69.98182,-2.98182
475,35,74,46,28,16.8,5.8,1.9,4.4,44.4,0.9,2.1,42.6,1.1,1.5,68.4,0.3,2.1,2.5,0.8,0.7,0.4,0.1,1.6,11.1,2,0,0.1,72,72.03272,-0.03272
476,24,20,9,11,5.4,2.9,1,2.1,45.2,0.1,0.3,16.7,0.9,1.2,78.3,0.5,1,1.5,0.3,0.3,0.3,0.1,0.9,5.8,0,0,0.8,67,68.560684,-1.560684
477,31,52,43,9,18.8,5.3,2,4.8,41.8,0.5,1.5,32.1,0.9,1.1,77.6,1,3.3,4.3,1.4,0.7,1,0.4,1.3,16.2,1,0,3.3,74,74.97782,-0.97782
478,22,68,20,48,34.8,17.1,6.5,14,46.6,1.3,3.5,36.4,2.8,3.6,78.8,1.1,5.3,6.3,1.8,1.7,1,0.5,2,30.4,11,0,-4.3,79,79.14193,-0.14193
479,33,63,46,17,26.2,8.6,3.6,7.2,49.5,0.2,0.5,34.5,1.3,2,62.7,1.6,2.8,4.4,1.4,1.4,2,0.5,2.6,22.1,2,0,3.9,78,79.63,-1.63
480,23,47,15,32,8.5,3.7,1.3,3.5,37,0.9,2.5,36.4,0.2,0.3,84.6,0.2,0.5,0.7,0.5,0.4,0.1,0,0.9,5.3,0,0,-1.8,67,71.0893,-4.0893
481,28,78,28,50,31.7,13.9,5.4,12.5,42.9,1.8,5.2,34.2,1.4,1.8,77.5,1.2,4.9,6.1,1.7,1.4,0.7,0.4,3,25.7,8,0,-2.8,77,78.01313,-1.01313
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.428100342
